seed,best_cost,n_routes,runtime_seconds,best_iter_found,stagnation_iters
0,947.2958852532599,5,0.08509379206225276,9,21
1,1016.3133919796253,5,0.08501362497918308,13,17
2,980.2533950953637,5,0.08465654216706753,29,1
3,999.1142758624724,5,0.08540733298286796,13,17
4,974.5869562842374,5,0.08628050005063415,4,26
5,1035.8131560227791,5,0.08428833284415305,22,8
6,1074.1617558678013,5,0.0839392498601228,3,27
7,1021.4545306827588,5,0.0844360829796642,3,27
8,1028.5782485640616,5,0.08417583303526044,5,25
9,940.2352085104674,5,0.08393662492744625,15,15
10,956.5651556169666,5,0.08423562487587333,3,27
11,964.0645453022096,5,0.08407204202376306,3,27
12,1005.0789035638998,5,0.08422066713683307,28,2
13,943.7752492688069,5,0.08407699991948903,23,7
14,1021.4545306827588,5,0.0840971670113504,7,23
15,1061.178396867621,5,0.0842066251207143,2,28
16,973.4987298555259,5,0.08453950006514788,5,25
17,1017.4982992802188,5,0.08438145904801786,15,15
18,1049.685794007816,5,0.08438970800489187,4,26
19,1006.2785083821323,5,0.08475050004199147,4,26
