instance,variant,seed,best_cost,gap_percent,elapsed_seconds,feasible,git_commit,n_routes,candidate_list_size,ls_mode,total_ls_applications,ls_per_iter,use_q0_schedule,q0_min,q0_max,rho,best_known
A-n32-k5,acs_baseline,0,947.2958852532599,20.828556792507648,0.10064658406190574,True,87a65c0,5,0,none,0,0.0,False,0.7,0.95,0.1,784.0
A-n32-k5,acs_baseline,1,1016.3133919796253,29.631810201482818,0.15608950005844235,True,87a65c0,5,0,none,0,0.0,False,0.7,0.95,0.1,784.0
A-n32-k5,acs_baseline,2,980.2533950953637,25.032320802980056,0.0913998750038445,True,87a65c0,5,0,none,0,0.0,False,0.7,0.95,0.1,784.0
A-n32-k5,acs_baseline,3,999.1142758624724,27.438045390621475,0.09158270806074142,True,87a65c0,5,0,none,0,0.0,False,0.7,0.95,0.1,784.0
A-n32-k5,acs_baseline,4,974.5869562842374,24.309560750540488,0.0908623340073973,True,87a65c0,5,0,none,0,0.0,False,0.7,0.95,0.1,784.0
A-n32-k5,acs_baseline,5,1035.8131560227791,32.1190250029055,0.09169599995948374,True,87a65c0,5,0,none,0,0.0,False,0.7,0.95,0.1,784.0
A-n32-k5,acs_baseline,6,1074.1617558678013,37.010428044362406,0.09326979098841548,True,87a65c0,5,0,none,0,0.0,False,0.7,0.95,0.1,784.0
A-n32-k5,acs_baseline,7,1021.4545306827588,30.2875676891274,0.0913740829564631,True,87a65c0,5,0,none,0,0.0,False,0.7,0.95,0.1,784.0
A-n32-k5,acs_baseline,8,1028.5782485640616,31.196205173987444,0.09378762496635318,True,87a65c0,5,0,none,0,0.0,False,0.7,0.95,0.1,784.0
A-n32-k5,acs_baseline,9,940.2352085104674,19.927960269192265,0.09144445788115263,True,87a65c0,5,0,none,0,0.0,False,0.7,0.95,0.1,784.0
A-n32-k5,acs_baseline,10,956.5651556169666,22.010861685837583,0.09084887499921024,True,87a65c0,5,0,none,0,0.0,False,0.7,0.95,0.1,784.0
A-n32-k5,acs_baseline,11,964.0645453022096,22.96741649262877,0.11079075001180172,True,87a65c0,5,0,none,0,0.0,False,0.7,0.95,0.1,784.0
A-n32-k5,acs_baseline,12,1005.0789035638998,28.198839740293337,0.09106854209676385,True,87a65c0,5,0,none,0,0.0,False,0.7,0.95,0.1,784.0
A-n32-k5,acs_baseline,13,943.7752492688069,20.37949608020496,0.09222166705876589,True,87a65c0,5,0,none,0,0.0,False,0.7,0.95,0.1,784.0
A-n32-k5,acs_baseline,14,1021.4545306827588,30.2875676891274,0.09104191605001688,True,87a65c0,5,0,none,0,0.0,False,0.7,0.95,0.1,784.0
A-n32-k5,acs_baseline,15,1061.178396867621,35.354387355563894,0.09072941611520946,True,87a65c0,5,0,none,0,0.0,False,0.7,0.95,0.1,784.0
A-n32-k5,acs_baseline,16,973.4987298555259,24.1707563591232,0.09097358281724155,True,87a65c0,5,0,none,0,0.0,False,0.7,0.95,0.1,784.0
